L_patch_mm,W_patch_mm,inset_x_mm,feed_width_mm,fitness,L_pred,W_pred,h_pred,L_diff,W_diff
7.0,9.8,1.4788241731004879,3.356771476835853,49.04601402282715,29.509950637817383,36.336063385009766,1.1960924863815308,22.509950637817383,26.536063385009765
7.0,9.8,1.4203589414131628,3.1708559615623937,49.04601402282715,29.509950637817383,36.336063385009766,1.1960924863815308,22.509950637817383,26.536063385009765
7.0,9.8,1.417715845105767,3.1839567726951605,49.04601402282715,29.509950637817383,36.336063385009766,1.1960924863815308,22.509950637817383,26.536063385009765
7.0,9.8,1.5520814480193166,3.1831553282595175,49.04601402282715,29.509950637817383,36.336063385009766,1.1960924863815308,22.509950637817383,26.536063385009765
7.0,9.8,1.5799968743843504,3.303274316329024,49.04601402282715,29.509950637817383,36.336063385009766,1.1960924863815308,22.509950637817383,26.536063385009765
7.0,9.8,1.4905586405592435,3.260777176272396,49.04601402282715,29.509950637817383,36.336063385009766,1.1960924863815308,22.509950637817383,26.536063385009765
7.0,9.8,1.4656685576220092,3.234035443587548,49.04601402282715,29.509950637817383,36.336063385009766,1.1960924863815308,22.509950637817383,26.536063385009765
7.0,9.8,1.7877342353401429,3.219495461835489,49.04601402282715,29.509950637817383,36.336063385009766,1.1960924863815308,22.509950637817383,26.536063385009765
7.0,9.8,1.453806520009712,3.2077972833042248,49.04601402282715,29.509950637817383,36.336063385009766,1.1960924863815308,22.509950637817383,26.536063385009765
7.0,9.8,1.4404072905605239,3.1791451187099984,49.04601402282715,29.509950637817383,36.336063385009766,1.1960924863815308,22.509950637817383,26.536063385009765
