L_patch_mm,W_patch_mm,inset_x_mm,feed_width_mm,fitness,L_pred,W_pred,h_pred,L_diff,W_diff
7.0,9.8,1.4788241731004879,3.356771476835853,8.052925300598144,11.383136749267578,13.469788551330566,0.8460580706596375,4.383136749267578,3.6697885513305657
7.0,9.8,1.4203589414131628,3.1708559615623937,8.052925300598144,11.383136749267578,13.469788551330566,0.8460580706596375,4.383136749267578,3.6697885513305657
7.0,9.8,1.417715845105767,3.1839567726951605,8.052925300598144,11.383136749267578,13.469788551330566,0.8460580706596375,4.383136749267578,3.6697885513305657
7.0,9.8,1.5520814480193166,3.1831553282595175,8.052925300598144,11.383136749267578,13.469788551330566,0.8460580706596375,4.383136749267578,3.6697885513305657
7.0,9.8,1.5799968743843504,3.303274316329024,8.052925300598144,11.383136749267578,13.469788551330566,0.8460580706596375,4.383136749267578,3.6697885513305657
7.0,9.8,1.4905586405592435,3.260777176272396,8.052925300598144,11.383136749267578,13.469788551330566,0.8460580706596375,4.383136749267578,3.6697885513305657
7.0,9.8,1.4656685576220092,3.234035443587548,8.052925300598144,11.383136749267578,13.469788551330566,0.8460580706596375,4.383136749267578,3.6697885513305657
7.0,9.8,1.7877342353401429,3.219495461835489,8.052925300598144,11.383136749267578,13.469788551330566,0.8460580706596375,4.383136749267578,3.6697885513305657
7.0,9.8,1.453806520009712,3.2077972833042248,8.052925300598144,11.383136749267578,13.469788551330566,0.8460580706596375,4.383136749267578,3.6697885513305657
7.0,9.8,1.4404072905605239,3.1791451187099984,8.052925300598144,11.383136749267578,13.469788551330566,0.8460580706596375,4.383136749267578,3.6697885513305657
