Gain_sim,Gain_pred,S11_sim,S11_pred,Eff_sim,Eff_pred
2.1948,2.2878468,7.69,6.6651173,-32.77,-25.582125
3.1223,3.122593,5.18,6.1896667,-33.73,-27.025928
2.7725,2.6746466,6.84,6.104105,-12.06,-27.306206
2.0595,2.158099,7.96,6.923124,-24.26,-25.56129
2.3266,2.3917694,7.26,6.9651585,-10.68,-26.066788
2.9828,2.9620097,6.34,6.2246547,-30.39,-27.253918
2.4898,2.511952,7.57,6.594702,-24.89,-26.277706
2.9758,2.8752968,5.9,6.2212877,-37.06,-27.551874
3.2861,3.134726,5.67,6.04809,-36.52,-27.489834
2.5294,2.5371118,7.32,6.5669904,-32.78,-26.33515
2.1357,2.225587,7.66,6.8924637,-29.32,-25.757938
2.6246,2.5912912,7.43,6.4479012,-20.34,-26.718649
3.3456,3.2434208,5.78,6.161226,-29.23,-27.082798
2.9509,2.9017925,6.7,6.2099886,-27.64,-27.388529
3.4465,3.2630835,6.12,6.0457726,-26.94,-27.284878
2.7926,2.7334905,7.89,6.463106,-36.65,-26.836966
2.6416,2.5846968,6.45,6.2499804,-16.42,-27.15751
1.9384,2.074926,8.36,7.178742,-36.64,-25.151638
2.7455,2.6790173,6.47,6.344571,-34.71,-27.054586
2.6269,2.5870779,7.49,6.4115434,-26.04,-26.96177
2.0483,2.1532178,7.83,6.640027,-12.97,-25.11372
3.4092,3.1805077,5.52,5.9814496,-36.79,-27.599442
3.3087,3.142534,5.24,5.982358,-21.72,-27.551449
2.5814,2.5514095,7.05,6.4227567,-37.75,-26.496115
2.1895,2.2565434,7.34,6.9160585,-28.33,-26.035374
2.6638,2.5733852,6.23,6.078493,-26.87,-27.10243
2.1887,2.2936583,7.42,6.682767,-30.13,-25.469458
2.6796,2.6491063,6.96,6.4756207,-34.1,-26.627691
2.4304,2.3786569,6.84,6.2616653,-16.78,-26.622839
2.6628,2.5975776,6.05,6.2799597,-29.0,-27.09544
2.018,2.0961363,7.69,7.0421805,-23.34,-25.768675
3.062,2.9485774,5.78,6.040381,-34.73,-27.642342
2.7928,2.7068076,6.35,6.3248615,-18.53,-26.931404
2.668,2.612781,6.46,6.330321,-35.01,-27.10057
2.6518,2.6097865,7.72,6.4045043,-23.18,-27.10412
3.2263,3.0539656,6.06,6.157037,-19.35,-27.605362
3.067,2.9464,5.45,6.1603436,-21.29,-27.611973
2.3226,2.3907425,7.15,6.767997,-28.53,-26.062666
2.1992,2.292851,7.64,7.002138,-13.03,-25.846857
3.3564,3.1469114,5.69,6.147904,-34.92,-27.473587
2.5485,2.5507932,7.49,6.5115967,-12.8,-26.298513
2.1194,2.2265396,7.54,6.7879567,-35.84,-25.515388
2.8778,2.7777703,6.44,6.307477,-30.83,-27.2948
1.8954,2.0100687,7.95,6.91747,-31.91,-24.886894
2.4793,2.503363,7.18,6.568741,-31.68,-26.228863
2.3878,2.3925743,6.84,6.539301,-26.86,-26.410023
2.1865,2.2374659,7.32,6.7715664,-29.31,-26.048737
1.8864,2.034344,7.78,7.3041706,-33.19,-25.075136
2.2241,2.3032076,7.62,6.6885557,-30.45,-25.815596
2.0229,2.1557274,7.02,7.2506046,-26.54,-25.462067
3.004,2.8679821,7.31,6.2633476,-10.57,-27.525023
2.5307,2.5425556,7.01,6.6107335,-24.28,-26.392796
3.3067,3.2565806,6.17,6.245003,-33.62,-26.845694
2.5678,2.5889692,7.06,6.5102844,-21.67,-26.035393
2.9533,2.8522007,6.06,6.1100607,-13.6,-27.57812
2.3169,2.4253526,6.77,6.771817,-21.85,-25.678297
2.7983,2.722765,6.51,6.340335,-28.16,-27.147371
3.2819,3.2419949,6.2,6.2596545,-18.37,-26.860012
2.6337,2.5842159,6.24,6.3512974,-23.48,-26.853504
3.0462,2.9757366,6.5,6.312693,-17.55,-27.310043
2.4561,2.5078735,7.56,6.759337,-26.54,-26.12882
3.1913,3.1553879,5.76,6.113282,-14.08,-27.140388
2.0848,2.1421342,7.49,6.898409,-35.3,-25.91791
2.8972,2.7914662,7.33,6.298099,-17.9,-27.374243
3.2362,3.2117777,6.37,6.2310815,-31.33,-26.920595
3.2975,3.235469,5.91,6.113892,-35.99,-27.053677
2.5926,2.5580318,8.35,6.422527,-22.44,-26.6824
3.0692,3.0827522,6.37,6.1878934,-30.28,-27.038588
3.4107,3.2869306,5.77,6.126867,-27.77,-27.052713
2.1153,2.2014647,8.65,6.806777,-25.03,-25.676556
