Gain_sim,Gain_pred,S11_sim,S11_pred,Eff_sim,Eff_pred
3.0703,2.835467,4.32,4.8308716,-23.12,-21.917278
3.1846,2.871498,4.11,4.747903,-10.84,-21.509588
2.5301,2.3656225,4.31,5.3622246,-25.66,-22.361814
3.1705,2.9934618,3.24,4.811796,-26.91,-21.61033
2.3489,2.2061303,3.77,5.4123907,-26.81,-23.039759
2.2712,2.2688997,4.52,5.6277814,-24.18,-22.756018
2.2726,2.1448615,4.46,5.3760543,-22.72,-23.572691
2.7562,2.5586963,3.5,5.1646047,-23.65,-21.81304
3.1066,2.942521,4.27,4.715305,-12.57,-22.354574
1.9837,1.9804534,5.53,5.8715024,-25.14,-23.4049
1.7587,1.759874,5.61,6.152913,-17.34,-23.909933
3.161,2.9257958,3.53,4.88028,-14.4,-21.052477
2.9491,2.7907016,3.46,5.0230703,-29.41,-21.56378
2.2492,2.1470523,4.99,5.419117,-11.22,-23.558792
3.4065,3.0936348,3.0,4.4427233,-13.93,-22.044313
2.6748,2.5899978,4.14,5.3480344,-28.4,-21.632782
3.2113,2.890084,4.11,4.633255,-21.22,-22.019604
3.4049,2.9940004,4.22,4.4884844,-18.67,-21.593807
3.5034,3.2691975,3.83,4.5948796,-19.35,-20.968681
3.1874,2.8304305,3.11,4.63295,-29.57,-22.156118
2.8995,2.5780158,3.04,4.9354453,-28.27,-22.131672
1.875,1.8979504,5.73,5.982057,-17.62,-23.828386
3.1085,2.7127995,4.21,4.6611657,-31.13,-22.38373
3.062,2.778678,3.6,4.7847633,-18.27,-22.122543
2.1975,2.223867,4.93,5.8241315,-26.16,-22.362114
3.16,2.8931139,3.3,4.78726,-20.05,-21.636585
1.9148,2.0032609,4.47,6.117115,-20.4,-23.022963
2.6634,2.5604389,3.82,5.183489,-28.24,-22.404045
2.21,2.1841278,3.82,5.5923395,-32.31,-23.196217
2.9849,2.7341115,3.67,4.8671274,-13.8,-22.072115
3.3375,3.1273499,3.17,4.4238405,-23.7,-22.600882
2.4343,2.3549356,4.0,5.476488,-25.51,-22.554697
2.0264,2.0848289,4.5,5.8758287,-28.74,-23.189724
2.1734,2.2054937,4.87,5.8374414,-16.11,-22.44654
1.8555,1.9370558,5.67,6.177717,-28.78,-23.23053
3.3516,2.9985685,3.55,4.5210958,-31.49,-21.815413
2.2621,2.1572196,4.76,5.461074,-10.11,-23.350382
2.4599,2.3771703,4.47,5.4336677,-22.43,-22.58595
1.7658,1.7492085,5.01,5.9821973,-25.33,-24.443367
3.2246,2.8505733,3.03,4.62043,-21.71,-21.930843
2.4434,2.4265778,3.82,5.60609,-33.09,-22.09323
2.4646,2.3456714,4.16,5.4288645,-13.95,-22.54844
2.7196,2.5034926,3.58,5.010194,-26.84,-22.763742
2.2473,2.258727,4.63,5.6639338,-15.45,-22.749582
3.0791,2.7948608,4.19,4.7751045,-31.27,-22.087477
3.3084,3.0947554,3.07,4.549296,-21.33,-22.096928
2.9097,2.699242,3.03,4.9401293,-30.71,-22.124645
2.4807,2.3651266,3.48,5.357016,-28.77,-22.70048
3.6391,3.3188355,3.5,4.2801285,-8.14,-21.841345
2.8841,2.6689365,4.15,4.96429,-28.84,-22.14822
3.4635,3.0969317,4.14,4.4796367,-30.32,-21.35786
1.9947,1.9972736,4.67,5.7941027,-20.44,-23.683825
2.4553,2.2642045,4.29,5.246179,-22.84,-23.227564
2.8897,2.6585016,3.0,4.9553623,-29.89,-22.155767
2.8524,2.6411774,3.69,4.9408092,-26.53,-22.412502
3.1176,2.8524418,3.45,4.7870626,-17.04,-21.886133
1.8803,1.9289076,5.42,6.0549083,-22.01,-23.50947
2.3065,2.2838295,4.5,5.6329575,-31.92,-22.584982
2.0989,2.0882506,3.73,5.6672425,-23.33,-23.530575
2.6498,2.5628629,3.95,5.262171,-32.89,-22.23534
2.5592,2.438111,5.14,5.362159,-32.2,-22.269785
2.3822,2.4018152,4.4,5.6291533,-29.11,-22.344366
3.0084,2.807335,4.36,4.9114904,-21.88,-21.784067
2.5611,2.4188485,4.55,5.240288,-14.83,-22.649136
2.7089,2.4896233,4.04,5.1591644,-30.84,-22.141598
3.1847,2.8661964,3.0,4.6047926,-31.82,-22.374733
3.0019,2.7578716,3.44,4.8634877,-23.57,-22.026049
2.7871,2.6255221,4.31,5.1103234,-12.28,-22.038786
3.2432,3.041909,3.77,4.6394114,-30.84,-22.019331
3.018,2.8168647,3.38,4.8523555,-33.96,-22.087402
2.4837,2.350379,4.94,5.3041005,-31.93,-22.838121
1.7969,1.8031749,6.6,6.0744085,-22.44,-23.980503
2.4221,2.2618625,4.21,5.298114,-32.46,-23.192827
